date,tvl,asset_type
2022-06-06 00:00:00,0.0,ITS
2022-06-07 00:00:00,0.0,ITS
2022-06-07 00:00:00,95433576.77,non-ITS
2022-06-08 00:00:00,97230111.05,non-ITS
2022-06-08 00:00:00,0.0,ITS
2022-06-09 00:00:00,100974794.0,non-ITS
2022-06-09 00:00:00,0.0,ITS
2022-06-10 00:00:00,0.0,ITS
2022-06-10 00:00:00,101906927.0,non-ITS
2022-06-11 00:00:00,0.0,ITS
2022-06-11 00:00:00,101139653.7,non-ITS
2022-06-12 00:00:00,0.0,ITS
2022-06-12 00:00:00,96923098.07,non-ITS
2022-06-13 00:00:00,94565653.91,non-ITS
2022-06-13 00:00:00,0.0,ITS
2022-06-14 00:00:00,96811164.98,non-ITS
2022-06-14 00:00:00,0.0,ITS
2022-06-15 00:00:00,97052250.21,non-ITS
2022-06-15 00:00:00,0.0,ITS
2022-06-16 00:00:00,95764063.08,non-ITS
2022-06-16 00:00:00,0.0,ITS
2022-06-17 00:00:00,0.0,ITS
2022-06-17 00:00:00,94951616.32,non-ITS
2022-06-18 00:00:00,93449940.22,non-ITS
2022-06-18 00:00:00,0.0,ITS
2022-06-19 00:00:00,0.0,ITS
2022-06-19 00:00:00,94728207.6,non-ITS
2022-06-20 00:00:00,95034819.4,non-ITS
2022-06-20 00:00:00,0.0,ITS
2022-06-21 00:00:00,0.0,ITS
2022-06-21 00:00:00,95621294.54,non-ITS
2022-06-22 00:00:00,97274041.95,non-ITS
2022-06-22 00:00:00,0.0,ITS
2022-06-23 00:00:00,0.0,ITS
2022-06-23 00:00:00,97844870.48,non-ITS
2022-06-24 00:00:00,0.0,ITS
2022-06-24 00:00:00,100071384.3,non-ITS
2022-06-25 00:00:00,0.0,ITS
2022-06-25 00:00:00,100496488.8,non-ITS
2022-06-26 00:00:00,99694760.33,non-ITS
2022-06-26 00:00:00,0.0,ITS
2022-06-27 00:00:00,98408289.47,non-ITS
2022-06-27 00:00:00,0.0,ITS
2022-06-28 00:00:00,0.0,ITS
2022-06-28 00:00:00,96841599.86,non-ITS
2022-06-29 00:00:00,0.0,ITS
2022-06-29 00:00:00,96861153.4,non-ITS
2022-06-30 00:00:00,0.0,ITS
2022-06-30 00:00:00,104788806.6,non-ITS
2022-07-01 00:00:00,106090858.2,non-ITS
2022-07-01 00:00:00,0.0,ITS
2022-07-02 00:00:00,0.0,ITS
2022-07-02 00:00:00,105769235.6,non-ITS
2022-07-03 00:00:00,0.0,ITS
2022-07-03 00:00:00,105330216.9,non-ITS
2022-07-04 00:00:00,105873271.2,non-ITS
2022-07-04 00:00:00,0.0,ITS
2022-07-05 00:00:00,108825779.2,non-ITS
2022-07-05 00:00:00,0.0,ITS
2022-07-06 00:00:00,0.0,ITS
2022-07-06 00:00:00,108934283.4,non-ITS
2022-07-07 00:00:00,0.0,ITS
2022-07-07 00:00:00,107655229.0,non-ITS
2022-07-08 00:00:00,0.0,ITS
2022-07-08 00:00:00,108322256.2,non-ITS
2022-07-09 00:00:00,108794077.2,non-ITS
2022-07-09 00:00:00,0.0,ITS
